raw_city,canonical_city
Yamasee,Yamasee
Yonges Island,Yonges Island
charleston,CHARLESTON_NEEDS_ZIP
daniel island,Daniel Island
edisto island,Edisto Island
elloree,Elloree
folly beach,James Island
hilton head,Hilton Head Island
hollywood,Hollywood
isle of palms,Isle of Palms
james island,James Island
john Island,Johns Island
johns Island,Johns Island
johns island,Johns Island
kiawah,Kiawah Island
ladson,Ladson
mount pleasant,Mount Pleasant
mt pleasant,Mount Pleasant
north charleston,North Charleston
ravenel,Ravenel
sc 29941,
seabrook,Seabrook Island
seabrook island,Seabrook Island
summerville,Summerville
wadmalow,Wadmalaw Island
walterboro,Walterboro
west ashley,West Ashley
yonges,Yonges Island
